fold,validation_year,horizon_min,threshold,cost_bps_round_trip,train_rows,validation_rows,best_iteration,trades,longs,shorts,gross_return_sum,net_return_sum,compound_return,win_rate,profit_factor,max_drawdown,avg_trade_net
2,2023,5,0.0005,5.0,330124,410106,7,0,0,0,0.0,0.0,0.0,,,,
2,2023,15,0.0,0.0,329696,409566,40,27349,8766,18583,0.12123717727900457,0.12123717727900457,0.11947787401071142,0.4386266408278182,1.0194449097853338,-0.10030339323587378,4.4329656396579245e-06
2,2023,15,0.0,1.0,329696,409566,40,27349,8766,18583,0.12123717727900457,-2.613662822720996,-0.9273545058566102,0.36867892793155144,0.6677095831562793,-0.9274266273442378,-9.556703436034209e-05
2,2023,15,0.0,2.0,329696,409566,40,27349,8766,18583,0.12123717727900457,-5.348562822720996,-0.9952871561347021,0.30249734908040515,0.4477397333332365,-0.9952880672242148,-0.00019556703436034208
2,2023,15,0.0,5.0,329696,409566,40,27349,8766,18583,0.12123717727900457,-13.553262822720995,-0.999998715325408,0.16037149438736334,0.1552010978046777,-0.9999987146827494,-0.0004955670343603421
2,2023,15,0.0001,0.0,329696,409566,40,437,290,147,0.04728141057933131,0.04728141057933131,0.04722298702941363,0.5446224256292906,1.15945468723724,-0.04113491899102384,0.00010819544754995722
2,2023,15,0.0001,1.0,329696,409566,40,437,290,147,0.04728141057933131,0.003581410579331333,0.002447190887230999,0.517162471395881,1.0112964674639373,-0.04906499605283876,8.195447549957284e-06
2,2023,15,0.0001,2.0,329696,409566,40,437,290,147,0.04728141057933131,-0.04011858942066869,-0.04041833347614554,0.482837528604119,0.8816396849196266,-0.05833624858206221,-9.180455245004277e-05
2,2023,15,0.0001,5.0,329696,409566,40,437,290,147,0.04728141057933131,-0.17121858942066864,-0.15834934259138267,0.391304347826087,0.5854884657508848,-0.16562468276321163,-0.0003918045524500427
2,2023,15,0.0002,0.0,329696,409566,40,73,22,51,-0.0017601697073388045,-0.0017601697073388045,-0.0021553928618438523,0.4657534246575342,0.9777243669116116,-0.029195137616584765,-2.4111913799161705e-05
2,2023,15,0.0002,1.0,329696,409566,40,73,22,51,-0.0017601697073388045,-0.009060169707338799,-0.009413750439370983,0.4657534246575342,0.8907330078694291,-0.030750151975770357,-0.00012411191379916163
2,2023,15,0.0002,2.0,329696,409566,40,73,22,51,-0.0017601697073388045,-0.016360169707338796,-0.016620028532156272,0.410958904109589,0.8120671274132593,-0.03231338080079704,-0.0002241119137991616
2,2023,15,0.0002,5.0,329696,409566,40,73,22,51,-0.0017601697073388045,-0.038260169707338795,-0.037930058289204815,0.3972602739726027,0.6176291801100439,-0.039721561357627166,-0.0005241119137991616
2,2023,15,0.0005,0.0,329696,409566,40,1,0,1,0.0021359412347925,0.0021359412347925,0.002135941234792549,1.0,inf,0.0,0.0021359412347925
2,2023,15,0.0005,1.0,329696,409566,40,1,0,1,0.0021359412347925,0.0020359412347925,0.00203594123479256,1.0,inf,0.0,0.0020359412347925
2,2023,15,0.0005,2.0,329696,409566,40,1,0,1,0.0021359412347925,0.0019359412347924997,0.0019359412347925709,1.0,inf,0.0,0.0019359412347924997
2,2023,15,0.0005,5.0,329696,409566,40,1,0,1,0.0021359412347925,0.0016359412347924998,0.001635941234792604,1.0,inf,0.0,0.0016359412347924998
2,2023,30,0.0,0.0,329054,408756,16,13672,6652,7020,0.13877919757823517,0.13877919757823517,0.13939782943417578,0.4270772381509655,1.031784930196893,-0.1285307599077259,1.0150614217249501e-05
2,2023,30,0.0,1.0,329054,408756,16,13672,6652,7020,0.13877919757823517,-1.2284208024217649,-0.7096755647353772,0.3805588063194851,0.7629190953462409,-0.7122849674275311,-8.98493857827505e-05
2,2023,30,0.0,2.0,329054,408756,16,13672,6652,7020,0.13877919757823517,-2.595620802421765,-0.9260339537989336,0.333601521357519,0.5716916937630523,-0.9261865357768616,-0.0001898493857827505
2,2023,30,0.0,5.0,329054,408756,16,13672,6652,7020,0.13877919757823517,-6.697220802421766,-0.9987778559341561,0.2173785839672323,0.25995790040608724,-0.9987781991148731,-0.0004898493857827506
