horizon_min,validation_year,top_k,long_threshold,short_threshold,cost_bps,auc,trades,compound,profit_factor,win_rate,max_drawdown,selected_features
15,2024,5,0.55,0.45,2,0.5090740663218634,174,-0.022598686010586233,0.8698233456979056,0.5,-0.03891940922366066,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,5,0.55,0.45,5,0.5090740663218634,174,-0.07232404910423362,0.6246982139568343,0.45977011494252873,-0.07940498578331956,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,5,0.6,0.4,0,0.5090740663218634,8,-0.00299468598098096,0.7146863368877616,0.375,-0.0066453354782047835,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,5,0.6,0.4,1,0.5090740663218634,8,-0.0037923129609291895,0.6544097744296928,0.375,-0.007043280699978838,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,5,0.6,0.4,2,0.5090740663218634,8,-0.00458938153082622,0.59941810217992,0.375,-0.007441106344984072,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,5,0.6,0.4,5,0.5090740663218634,8,-0.006977240130596085,0.46000980167797895,0.375,-0.008633866058941564,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m
15,2024,10,0.5,0.5,0,0.5074401693559968,14336,-0.029952144311153783,0.9955964921429444,0.5093470982142857,-0.1448135391799824,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.5,0.5,1,0.5074401693559968,14336,-0.768710563672105,0.7519922365982483,0.45486886160714285,-0.7693240424875791,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.5,0.5,2,0.5074401693559968,14336,-0.9448613457627508,0.5682160135136944,0.3989955357142857,-0.9449078558561056,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.5,0.5,5,0.5074401693559968,14336,-0.9992535796162659,0.25119437941919065,0.2534877232142857,-0.999253631092931,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.55,0.45,0,0.5074401693559968,102,-0.0005783022718708342,0.9979905780235274,0.5490196078431373,-0.02320799412296337,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.55,0.45,1,0.5074401693559968,102,-0.010721188616247379,0.9030614075062756,0.5294117647058824,-0.0272071408928638,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.55,0.45,2,0.5074401693559968,102,-0.020762136336990644,0.8168282228788556,0.4803921568627451,-0.032075534244816684,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.55,0.45,5,0.5074401693559968,102,-0.05028344254378825,0.6022503885927986,0.45098039215686275,-0.05653906819997101,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.6,0.4,0,0.5074401693559968,4,0.002200808040393909,1.530855841012598,0.5,-0.0037462940220559515,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.6,0.4,1,0.5074401693559968,4,0.001800205983115255,1.4153208141393396,0.5,-0.0038462940220559405,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.6,0.4,2,0.5074401693559968,4,0.0013997240346239614,1.309873747133679,0.5,-0.0039462940220559295,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2024,10,0.6,0.4,5,0.5074401693559968,4,0.00019899860178673734,1.0423779034635559,0.5,-0.0042462940220560075,distance_high_60|distance_sma_60|distance_sma_15|return_15m|momentum_15m|return_30m|momentum_30m|return_60m|momentum_60m|return_5m
15,2025,3,0.5,0.5,0,0.5192916019502943,14306,0.07929980776084844,1.0146717212590073,0.5137704459667273,-0.11069320220780088,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.5,0.5,1,0.5192916019502943,14306,-0.7418856338145295,0.7992797401428495,0.4647001258213337,-0.7455966471416466,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.5,0.5,2,0.5192916019502943,14306,-0.9382808249295845,0.6298521287650147,0.4158395078987837,-0.9387818621947415,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.5,0.5,5,0.5192916019502943,14306,-0.9991569158164172,0.3133795725864367,0.28407661121207883,-0.9991584116247298,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.55,0.45,0,0.5192916019502943,679,-0.02263762136874936,0.9689820498867521,0.5257731958762887,-0.06785859945630357,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.55,0.45,1,0.5192916019502943,679,-0.08680304216140755,0.8732764154507533,0.508100147275405,-0.11063214793361298,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.55,0.45,2,0.5192916019502943,679,-0.14676169444187126,0.7865469671976969,0.48306332842415317,-0.16491068832243938,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.55,0.45,5,0.5192916019502943,679,-0.30406239195362117,0.5728524607879495,0.4329896907216495,-0.3132544235071011,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.6,0.4,0,0.5192916019502943,96,0.018607601218750602,1.174822886979217,0.5625,-0.031542657506217875,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.6,0.4,1,0.5192916019502943,96,0.008877084894359788,1.0827565488682356,0.5520833333333334,-0.03542872235005845,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.6,0.4,2,0.5192916019502943,96,-0.0007614372315989382,0.9974381770599969,0.5208333333333334,-0.0417282881176716,distance_high_60|distance_sma_15|distance_sma_60
15,2025,3,0.6,0.4,5,0.5192916019502943,96,-0.02913360527268327,0.7781020055759749,0.4791666666666667,-0.06193872899256436,distance_high_60|distance_sma_15|distance_sma_60
15,2025,5,0.5,0.5,0,0.512310962822732,14306,-0.02981693268458596,0.9968183869302834,0.5093666992870124,-0.17749225188655215,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
15,2025,5,0.5,0.5,1,0.512310962822732,14306,-0.7679833569599568,0.7852996904429955,0.45854886061792255,-0.7702959836738548,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
15,2025,5,0.5,0.5,2,0.512310962822732,14306,-0.944521789496676,0.6190910986508174,0.41108625751432964,-0.9447805829092786,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
15,2025,5,0.5,0.5,5,0.512310962822732,14306,-0.9992421916659996,0.3088774908466829,0.28058157416468615,-0.9992425750977653,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
15,2025,5,0.55,0.45,0,0.512310962822732,226,-0.03652317311160269,0.8604471040611437,0.48672566371681414,-0.06918554779356634,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
15,2025,5,0.55,0.45,1,0.512310962822732,226,-0.05805819565201009,0.783268146712964,0.47345132743362833,-0.08284200668376551,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
15,2025,5,0.55,0.45,2,0.512310962822732,226,-0.07911396337667342,0.712723457709355,0.4646017699115044,-0.10128137131468518,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
15,2025,5,0.55,0.45,5,0.512310962822732,226,-0.13951076449448818,0.5355076509726805,0.42035398230088494,-0.1544151114207052,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
15,2025,5,0.6,0.4,0,0.512310962822732,7,0.01549644967079944,4.455153581647219,0.7142857142857143,-0.003352985826568289,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
15,2025,5,0.6,0.4,1,0.512310962822732,7,0.014787367440258326,4.1576246365210485,0.7142857142857143,-0.003452985826568278,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
15,2025,5,0.6,0.4,2,0.512310962822732,7,0.014078709643488896,3.8845069276129536,0.7142857142857143,-0.0035529858265682668,distance_high_60|distance_sma_15|distance_sma_60|return_15m|momentum_15m
