horizon_min,validation_year,feature,auc,advantage_abs,n
60,2022,minute_cos,0.5021939259894713,0.0021939259894713237,43073
60,2023,return_1m,0.4971565626201089,0.0028434373798911228,42857
60,2023,return_5m,0.4894309302627585,0.010569069737241477,42857
60,2023,return_15m,0.4857440303993814,0.01425596960061859,42857
60,2023,return_30m,0.48349505089078526,0.01650494910921474,42857
60,2023,return_60m,0.48228575971666066,0.017714240283339344,42857
60,2023,candle_range,0.5157967484710562,0.015796748471056166,42857
60,2023,body,0.4971431144214048,0.002856885578595203,42857
60,2023,abs_body,0.5127843345343543,0.012784334534354347,42857
60,2023,upper_wick,0.5069818457834944,0.006981845783494367,42857
60,2023,lower_wick,0.502083477460076,0.0020834774600759776,42857
60,2023,body_range_ratio,0.5039932425758656,0.003993242575865641,42857
60,2023,upper_wick_ratio,0.5011369909044256,0.0011369909044256499,42857
60,2023,lower_wick_ratio,0.49510666154469685,0.004893338455303153,42857
60,2023,volatility_15m,0.5159303068270524,0.01593030682705243,42857
60,2023,volatility_30m,0.517310056942246,0.017310056942245966,42857
60,2023,volatility_60m,0.517098760003104,0.017098760003103952,42857
60,2023,volatility_240m,0.5122287759072899,0.01222877590728988,42857
60,2023,momentum_5m,0.4895887208634107,0.010411279136589291,42857
60,2023,momentum_15m,0.4858927306407249,0.014107269359275088,42857
60,2023,momentum_30m,0.48362790672081046,0.016372093279189537,42857
60,2023,momentum_60m,0.48235496778289955,0.017645032217100454,42857
60,2023,sma_15,0.49310688814798864,0.006893111852011358,42857
60,2023,sma_60,0.49339646172892726,0.00660353827107274,42857
60,2023,sma_240,0.49358965528176824,0.006410344718231764,42857
60,2023,distance_sma_15,0.4878689710511855,0.012131028948814515,42857
60,2023,distance_sma_60,0.480278502512283,0.01972149748771701,42857
60,2023,distance_sma_240,0.48268930043709835,0.017310699562901655,42857
60,2023,sma_15_slope,0.48559200377925427,0.014407996220745733,42857
60,2023,sma_60_slope,0.4908564218983841,0.009143578101615923,42857
60,2023,sma_240_slope,0.5019531964694238,0.0019531964694238235,42857
60,2023,rolling_high_60,0.4939961749301605,0.006003825069839486,42857
60,2023,rolling_low_60,0.492933793373044,0.007066206626956006,42857
60,2023,rolling_high_240,0.4946611054144424,0.005338894585557585,42857
60,2023,rolling_low_240,0.4929814583986928,0.0070185416013072155,42857
60,2023,distance_high_60,0.47393755320054903,0.026062446799450967,42857
60,2023,distance_low_60,0.4905973303202746,0.009402669679725417,42857
60,2023,distance_high_240,0.47374989163128445,0.026250108368715552,42857
60,2023,distance_low_240,0.4901405087231703,0.009859491276829724,42857
60,2023,hour_sin,0.5140022074172008,0.014002207417200818,42857
60,2023,hour_cos,0.4913438562008238,0.008656143799176175,42857
60,2023,minute_sin,0.5033781827220254,0.0033781827220253913,42857
60,2023,minute_cos,0.5005122285678725,0.0005122285678724747,42857
60,2024,return_1m,0.49051146724019556,0.009488532759804436,42993
60,2024,return_5m,0.48837428005015404,0.011625719949845958,42993
