outer_fold,inner_year,outer_year,horizon_min,threshold,inner_trades,inner_compound_2bps,inner_profit_factor_2bps,inner_win_rate_2bps,inner_mdd_2bps,inner_avg_hold_minutes_2bps,inner_directional_accuracy_2bps,min_required_trades,eligible,selection_reason
4,2024,2025,15,0.5,21974,-0.9865295245483038,0.43218561878242806,0.4993173750796396,-0.98659008237403,3.259579503049058,0.4958587421498134,424,True,
4,2024,2025,15,0.55,2789,-0.380794495937157,0.4779907036405613,0.5245607744711366,-0.3811037582220297,2.5600573682323415,0.5234851201147365,424,True,max_inner_2bps_compound_return_with_min_trades
4,2024,2025,15,0.6,248,-0.03305789193901831,0.5469694958904618,0.5483870967741935,-0.0337000046686079,2.995967741935484,0.5403225806451613,424,False,
4,2024,2025,15,0.65,47,-0.003397434778282471,0.7018905171578348,0.5957446808510638,-0.004492355026072925,6.170212765957447,0.5319148936170213,424,False,
4,2024,2025,15,0.7,19,0.002088848243398056,2.05820278868509,0.7368421052631579,-0.0013995100000002703,9.421052631578947,0.6842105263157895,424,False,
4,2024,2025,15,0.75,11,0.002434473441518481,9.865368340947143,0.9090909090909091,-0.00027431866724514364,10.363636363636363,0.7272727272727273,424,False,
4,2024,2025,15,0.8,7,0.0021018909452830137,inf,1.0,0.0,7.285714285714286,1.0,424,False,
4,2024,2025,30,0.34,43317,-0.9997833046472913,0.43012611445035037,0.4948865341551816,-0.9997832930857752,6.693261306184639,0.48685273680079416,434,True,
4,2024,2025,30,0.4,42680,-0.9997458305648282,0.43256752205373394,0.4970243673851921,-0.9997457407490294,6.49892221180881,0.4900421743205248,434,True,
4,2024,2025,30,0.45,41201,-0.9996453987805326,0.43614517379440865,0.5001577631610883,-0.9996451503858027,6.120482512560375,0.49493944321739763,434,True,
4,2024,2025,30,0.5,34104,-0.9987358784822995,0.4337282584967167,0.5010849167253109,-0.9987357516401819,5.071340605207601,0.49835796387520526,434,True,
